TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
504,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/05,ALOR SEMADOM,"SEOLAH KEBANGSAAN HAJI MOHD SHARIFF, ALOR STAR",1,228,PKR,GOOI HSIAO LEUNG,88,MCA,CHOR CHEE HEUNG,119,,,,207,21,0
505,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/05,ALOR SEMADOM,"SEOLAH KEBANGSAAN HAJI MOHD SHARIFF, ALOR STAR",2,370,PKR,GOOI HSIAO LEUNG,171,MCA,CHOR CHEE HEUNG,183,,,,354,16,0
506,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/06,BAKAR BATA,"SEKOLAH MENENGAH KEBANGSAAN SYED MOHAMED AL-BUKHARY, ALOR STAR",1,175,PKR,GOOI HSIAO LEUNG,66,MCA,CHOR CHEE HEUNG,102,,,,168,7,0
507,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/06,BAKAR BATA,"SEKOLAH MENENGAH KEBANGSAAN SYED MOHAMED AL-BUKHARY, ALOR STAR",2,329,PKR,GOOI HSIAO LEUNG,154,MCA,CHOR CHEE HEUNG,169,,,,323,6,0
508,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/06,BAKAR BATA,"SEKOLAH MENENGAH KEBANGSAAN SYED MOHAMED AL-BUKHARY, ALOR STAR",3,329,PKR,GOOI HSIAO LEUNG,196,MCA,CHOR CHEE HEUNG,127,,,,323,6,0
509,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/06,BAKAR BATA,"SEKOLAH MENENGAH KEBANGSAAN SYED MOHAMED AL-BUKHARY, ALOR STAR",4,282,PKR,GOOI HSIAO LEUNG,166,MCA,CHOR CHEE HEUNG,111,,,,277,5,0
510,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/07,SEBERANG PUMPONG,JAATAN KEBUDAYAAN KESENIAN DAN WARISAN NEGERI KEDAH,1,261,PKR,GOOI HSIAO LEUNG,109,MCA,CHOR CHEE HEUNG,140,,,,249,12,0
511,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/07,SEBERANG PUMPONG,JAATAN KEBUDAYAAN KESENIAN DAN WARISAN NEGERI KEDAH,2,435,PKR,GOOI HSIAO LEUNG,193,MCA,CHOR CHEE HEUNG,225,,,,418,17,0
512,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/07,SEBERANG PUMPONG,JAATAN KEBUDAYAAN KESENIAN DAN WARISAN NEGERI KEDAH,3,390,PKR,GOOI HSIAO LEUNG,187,MCA,CHOR CHEE HEUNG,184,,,,371,19,0
513,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/08,SUKA MENANTI,SEKOLAH KEBANGSAAN SUKA MENANTI,1,267,PKR,GOOI HSIAO LEUNG,124,MCA,CHOR CHEE HEUNG,130,,,,254,13,0
514,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/08,SUKA MENANTI,SEKOLAH KEBANGSAAN SUKA MENANTI,2,458,PKR,GOOI HSIAO LEUNG,235,MCA,CHOR CHEE HEUNG,210,,,,445,13,0
515,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/08,SUKA MENANTI,SEKOLAH KEBANGSAAN SUKA MENANTI,3,397,PKR,GOOI HSIAO LEUNG,205,MCA,CHOR CHEE HEUNG,172,,,,377,20,0
516,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,1,280,PKR,GOOI HSIAO LEUNG,73,MCA,CHOR CHEE HEUNG,195,,,,268,12,0
517,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,2,521,PKR,GOOI HSIAO LEUNG,158,MCA,CHOR CHEE HEUNG,335,,,,493,28,0
518,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,3,498,PKR,GOOI HSIAO LEUNG,179,MCA,CHOR CHEE HEUNG,296,,,,475,23,0
519,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,4,442,PKR,GOOI HSIAO LEUNG,188,MCA,CHOR CHEE HEUNG,240,,,,428,14,0
520,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,5,419,PKR,GOOI HSIAO LEUNG,167,MCA,CHOR CHEE HEUNG,235,,,,402,17,0
521,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,6,382,PKR,GOOI HSIAO LEUNG,161,MCA,CHOR CHEE HEUNG,210,,,,371,11,0
522,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/09,TAMAN WIRA,SEKOLAH MENENGAH KEBANGSAAN MERGONG,7,391,PKR,GOOI HSIAO LEUNG,109,MCA,CHOR CHEE HEUNG,267,,,,376,15,0
523,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/10,GUNONG SALI,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH, MERGONG",1,247,PKR,GOOI HSIAO LEUNG,112,MCA,CHOR CHEE HEUNG,126,,,,238,9,0
524,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/10,GUNONG SALI,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH, MERGONG",2,441,PKR,GOOI HSIAO LEUNG,220,MCA,CHOR CHEE HEUNG,203,,,,423,18,0
525,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/10,GUNONG SALI,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH, MERGONG",3,435,PKR,GOOI HSIAO LEUNG,216,MCA,CHOR CHEE HEUNG,205,,,,421,14,0
526,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/10,GUNONG SALI,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH, MERGONG",4,385,PKR,GOOI HSIAO LEUNG,176,MCA,CHOR CHEE HEUNG,188,,,,364,21,0
527,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/11,KAMPUNG BARJAYA,SEKOLAH JENIS KEBANGSAAN (CHINA) LONG CHUAN JALAN PUTRA,1,237,PKR,GOOI HSIAO LEUNG,102,MCA,CHOR CHEE HEUNG,129,,,,231,6,0
528,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/11,KAMPUNG BARJAYA,SEKOLAH JENIS KEBANGSAAN (CHINA) LONG CHUAN JALAN PUTRA,2,396,PKR,GOOI HSIAO LEUNG,202,MCA,CHOR CHEE HEUNG,179,,,,381,15,0
529,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/11,KAMPUNG BARJAYA,SEKOLAH JENIS KEBANGSAAN (CHINA) LONG CHUAN JALAN PUTRA,3,388,PKR,GOOI HSIAO LEUNG,197,MCA,CHOR CHEE HEUNG,175,,,,372,16,0
530,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/12,TELOK YAN,DEWAN PERSATUAN KANG HAR TONG (OOI SI CHONG SOO) KEDAH/PERLIS KAMPUNG BERJAYA,1,262,PKR,GOOI HSIAO LEUNG,120,MCA,CHOR CHEE HEUNG,131,,,,251,11,0
531,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/12,TELOK YAN,DEWAN PERSATUAN KANG HAR TONG (OOI SI CHONG SOO) KEDAH/PERLIS KAMPUNG BERJAYA,2,432,PKR,GOOI HSIAO LEUNG,245,MCA,CHOR CHEE HEUNG,178,,,,423,9,0
532,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/13,KAMPUNG SEBERANG TERUS,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,1,261,PKR,GOOI HSIAO LEUNG,128,MCA,CHOR CHEE HEUNG,116,,,,244,17,0
533,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/13,KAMPUNG SEBERANG TERUS,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,2,272,PKR,GOOI HSIAO LEUNG,132,MCA,CHOR CHEE HEUNG,126,,,,258,14,0
534,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/13,KAMPUNG SEBERANG TERUS,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,3,252,PKR,GOOI HSIAO LEUNG,115,MCA,CHOR CHEE HEUNG,132,,,,247,5,0
535,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/14,TAMAN RAKYAT MERGONG,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,4,335,PKR,GOOI HSIAO LEUNG,192,MCA,CHOR CHEE HEUNG,131,,,,323,12,0
536,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/14,TAMAN RAKYAT MERGONG,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,5,505,PKR,GOOI HSIAO LEUNG,253,MCA,CHOR CHEE HEUNG,236,,,,489,16,0
537,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/14,TAMAN RAKYAT MERGONG,SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN JALAN PUTRA,6,454,PKR,GOOI HSIAO LEUNG,232,MCA,CHOR CHEE HEUNG,209,,,,441,13,0
538,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/15,KAMPUNG BATIN,SEKOLAH KEBANGSAAN MERGONG JALAN PUTRA,1,282,PKR,GOOI HSIAO LEUNG,115,MCA,CHOR CHEE HEUNG,144,,,,259,23,0
539,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/15,KAMPUNG BATIN,SEKOLAH KEBANGSAAN MERGONG JALAN PUTRA,2,389,PKR,GOOI HSIAO LEUNG,183,MCA,CHOR CHEE HEUNG,192,,,,375,14,0
540,KEDAH,2008,UNDI BIASA,009,ALOR STAR,12,BAKAR BATA,009/12/15,KAMPUNG BATIN,SEKOLAH KEBANGSAAN MERGONG JALAN PUTRA,3,326,PKR,GOOI HSIAO LEUNG,167,MCA,CHOR CHEE HEUNG,153,,,,320,6,0
541,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/01,JALAN LUMPUR,TASKA MAJLIS AGAMA ISLAM NEGERI KEDAH CAWANGAN MESJID ZAHIR,1,233,PKR,GOOI HSIAO LEUNG,122,MCA,CHOR CHEE HEUNG,104,,,,226,7,0
542,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/01,JALAN LUMPUR,TASKA MAJLIS AGAMA ISLAM NEGERI KEDAH CAWANGAN MESJID ZAHIR,2,468,PKR,GOOI HSIAO LEUNG,244,MCA,CHOR CHEE HEUNG,220,,,,464,4,0
543,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/02,KAMPUNG PERAK,SEKOLAH JENIS KEBANGSAAN (CHINA) KEAT HWA (H/K) JALAN KAMPONG PERAK,1,202,PKR,GOOI HSIAO LEUNG,98,MCA,CHOR CHEE HEUNG,98,,,,196,6,0
544,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/02,KAMPUNG PERAK,SEKOLAH JENIS KEBANGSAAN (CHINA) KEAT HWA (H/K) JALAN KAMPONG PERAK,2,368,PKR,GOOI HSIAO LEUNG,227,MCA,CHOR CHEE HEUNG,138,,,,365,3,0
545,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/03,SEBERANG NYONYA,PUSAT RUKUN TETANGGA SEKTOR KAMPUNG BERJAYA,1,304,PKR,GOOI HSIAO LEUNG,173,MCA,CHOR CHEE HEUNG,120,,,,293,11,0
546,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/04,JALAN RAJA,SEKOLAH JENIS KEBANGSAAN (CHINA) KEAT HWA (S) KAMPUNG BARU,1,416,PKR,GOOI HSIAO LEUNG,254,MCA,CHOR CHEE HEUNG,150,,,,404,12,0
547,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/05,JALAN KOLAM,SEKOLAH MENENGAH ST. MICHAEL LORONG MERPATI,1,197,PKR,GOOI HSIAO LEUNG,82,MCA,CHOR CHEE HEUNG,108,,,,190,7,0
548,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/05,JALAN KOLAM,SEKOLAH MENENGAH ST. MICHAEL LORONG MERPATI,2,298,PKR,GOOI HSIAO LEUNG,144,MCA,CHOR CHEE HEUNG,150,,,,294,4,0
549,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/05,JALAN KOLAM,SEKOLAH MENENGAH ST. MICHAEL LORONG MERPATI,3,281,PKR,GOOI HSIAO LEUNG,160,MCA,CHOR CHEE HEUNG,118,,,,278,3,0
550,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/06,PENGKALAN,SEKOLAH JENIS KEBANGSAAN (CHINA) KEAT HWA (S) KAMPUNG BARU,2,176,PKR,GOOI HSIAO LEUNG,86,MCA,CHOR CHEE HEUNG,82,,,,168,8,0
551,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/06,PENGKALAN,SEKOLAH JENIS KEBANGSAAN (CHINA) KEAT HWA (S) KAMPUNG BARU,3,424,PKR,GOOI HSIAO LEUNG,289,MCA,CHOR CHEE HEUNG,134,,,,423,1,0
552,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/07,JALAN SEBERANG PERAK,SEKOLAH KEBANGSAAN SEBERANG PERAK JALAN SEBERANG PERAK,1,191,PKR,GOOI HSIAO LEUNG,93,MCA,CHOR CHEE HEUNG,91,,,,184,7,0
553,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/07,JALAN SEBERANG PERAK,SEKOLAH KEBANGSAAN SEBERANG PERAK JALAN SEBERANG PERAK,2,407,PKR,GOOI HSIAO LEUNG,215,MCA,CHOR CHEE HEUNG,185,,,,400,7,0
554,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/08,TAMAN BAHAGIA,SEKOLAH KEBANGSAAN SEBERANG PERAK BARU JALAN BUNGA RAYA,1,228,PKR,GOOI HSIAO LEUNG,107,MCA,CHOR CHEE HEUNG,116,,,,223,5,0
555,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/08,TAMAN BAHAGIA,SEKOLAH KEBANGSAAN SEBERANG PERAK BARU JALAN BUNGA RAYA,2,458,PKR,GOOI HSIAO LEUNG,258,MCA,CHOR CHEE HEUNG,195,,,,453,5,0
556,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/09,KOTA TANAH,SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN) TAMAN SULTAN BADLISHAH,1,215,PKR,GOOI HSIAO LEUNG,94,MCA,CHOR CHEE HEUNG,112,,,,206,9,0
557,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/09,KOTA TANAH,SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN) TAMAN SULTAN BADLISHAH,2,293,PKR,GOOI HSIAO LEUNG,151,MCA,CHOR CHEE HEUNG,134,,,,285,8,0
558,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/10,KAMPUNG PIEW,SEKOLAH KEBANGSAAN SUNGAI KOROK JALAN PEGAWAI,1,416,PKR,GOOI HSIAO LEUNG,172,MCA,CHOR CHEE HEUNG,231,,,,403,13,0
559,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/11,JALAN PEGAWAI,MAKTAB MAHMUD PUTERI JALAN PEGAWAI,1,224,PKR,GOOI HSIAO LEUNG,101,MCA,CHOR CHEE HEUNG,115,,,,216,8,0
560,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/11,JALAN PEGAWAI,MAKTAB MAHMUD PUTERI JALAN PEGAWAI,2,323,PKR,GOOI HSIAO LEUNG,173,MCA,CHOR CHEE HEUNG,147,,,,320,3,0
561,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/12,SUNGAI KOROK,SEKOLAH KEBANGSAAN JALAN PEGAWAI ALOR STAR,1,254,PKR,GOOI HSIAO LEUNG,107,MCA,CHOR CHEE HEUNG,131,,,,238,16,0
562,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/12,SUNGAI KOROK,SEKOLAH KEBANGSAAN JALAN PEGAWAI ALOR STAR,2,357,PKR,GOOI HSIAO LEUNG,178,MCA,CHOR CHEE HEUNG,168,,,,346,11,0
563,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/12,SUNGAI KOROK,SEKOLAH KEBANGSAAN JALAN PEGAWAI ALOR STAR,3,287,PKR,GOOI HSIAO LEUNG,152,MCA,CHOR CHEE HEUNG,133,,,,285,2,0
564,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/13,KAMPUNG TELOK,DEWAN KIA LEBUHRAYA SULTAN ABDUL HALIM ALOR STAR,1,434,PKR,GOOI HSIAO LEUNG,158,MCA,CHOR CHEE HEUNG,267,,,,425,9,0
565,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/14,BANDAR SIMPANG KUALA,MAKTAB MAHMUD JALAN PEGAWAI,1,197,PKR,GOOI HSIAO LEUNG,93,MCA,CHOR CHEE HEUNG,86,,,,179,18,0
566,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/14,BANDAR SIMPANG KUALA,MAKTAB MAHMUD JALAN PEGAWAI,2,513,PKR,GOOI HSIAO LEUNG,318,MCA,CHOR CHEE HEUNG,184,,,,502,11,0
567,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/14,BANDAR SIMPANG KUALA,MAKTAB MAHMUD JALAN PEGAWAI,3,479,PKR,GOOI HSIAO LEUNG,282,MCA,CHOR CHEE HEUNG,187,,,,469,10,0
568,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/15,RUMAH PANGSA SIMPANG KUALA,TABIKA PERPADUAN SIMPANG KUALA UTARA,1,274,PKR,GOOI HSIAO LEUNG,124,MCA,CHOR CHEE HEUNG,139,,,,263,11,0
569,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/15,RUMAH PANGSA SIMPANG KUALA,TABIKA PERPADUAN SIMPANG KUALA UTARA,2,440,PKR,GOOI HSIAO LEUNG,250,MCA,CHOR CHEE HEUNG,184,,,,434,6,0
570,KEDAH,2008,UNDI BIASA,009,ALOR STAR,13,KOTA DARUL AMAN,009/13/16,KAMPUNG PEGAWAI,WISMA LUNG KONG LEBUHRAYA SULTAN ABDUL HALIM,1,433,PKR,GOOI HSIAO LEUNG,185,MCA,CHOR CHEE HEUNG,235,,,,420,13,0
571,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/01,KAMPUNG GELAM,SEKOLAH KEBANGSAAN KAMPUNG GELAM,1,292,PKR,GOOI HSIAO LEUNG,155,MCA,CHOR CHEE HEUNG,118,,,,273,19,0
572,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/01,KAMPUNG GELAM,SEKOLAH KEBANGSAAN KAMPUNG GELAM,2,539,PKR,GOOI HSIAO LEUNG,292,MCA,CHOR CHEE HEUNG,219,,,,511,28,0
573,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/01,KAMPUNG GELAM,SEKOLAH KEBANGSAAN KAMPUNG GELAM,3,475,PKR,GOOI HSIAO LEUNG,265,MCA,CHOR CHEE HEUNG,175,,,,440,35,0
574,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/02,ALOR MELINTANG,SEKOLAH KEBANGSAAN ALOR MELINTANG,1,296,PKR,GOOI HSIAO LEUNG,138,MCA,CHOR CHEE HEUNG,149,,,,287,9,0
575,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/02,ALOR MELINTANG,SEKOLAH KEBANGSAAN ALOR MELINTANG,2,434,PKR,GOOI HSIAO LEUNG,206,MCA,CHOR CHEE HEUNG,205,,,,411,23,0
576,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/02,ALOR MELINTANG,SEKOLAH KEBANGSAAN ALOR MELINTANG,3,384,PKR,GOOI HSIAO LEUNG,175,MCA,CHOR CHEE HEUNG,182,,,,357,27,0
577,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/03,TITI HAJI IDRIS,SEKOLAH KEBANGSAAN TITI HAJI IDRIS TAJAR,1,295,PKR,GOOI HSIAO LEUNG,132,MCA,CHOR CHEE HEUNG,139,,,,271,24,0
578,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/03,TITI HAJI IDRIS,SEKOLAH KEBANGSAAN TITI HAJI IDRIS TAJAR,2,510,PKR,GOOI HSIAO LEUNG,257,MCA,CHOR CHEE HEUNG,215,,,,472,38,0
579,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/04,TOK SIBIL,SEKOLAH KEBANGSAAN DARUL HIKMAH JALAN JELAI/JALAN DATUK KUMBAR,1,291,PKR,GOOI HSIAO LEUNG,206,MCA,CHOR CHEE HEUNG,71,,,,277,14,0
580,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/04,TOK SIBIL,SEKOLAH KEBANGSAAN DARUL HIKMAH JALAN JELAI/JALAN DATUK KUMBAR,2,574,PKR,GOOI HSIAO LEUNG,362,MCA,CHOR CHEE HEUNG,175,,,,537,37,0
581,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/04,TOK SIBIL,SEKOLAH KEBANGSAAN DARUL HIKMAH JALAN JELAI/JALAN DATUK KUMBAR,3,510,PKR,GOOI HSIAO LEUNG,324,MCA,CHOR CHEE HEUNG,158,,,,482,28,0
582,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/05,ALOR BINJAL,SEKOLAH MENENGAH KEBANGSAAN TAJAR,1,294,PKR,GOOI HSIAO LEUNG,121,MCA,CHOR CHEE HEUNG,142,,,,263,31,0
583,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/05,ALOR BINJAL,SEKOLAH MENENGAH KEBANGSAAN TAJAR,2,440,PKR,GOOI HSIAO LEUNG,205,MCA,CHOR CHEE HEUNG,207,,,,412,28,0
584,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/06,TOK KELING,SEKOLAH KEBANGSAAN HAJI WAHAB TOK KELING,1,314,PKR,GOOI HSIAO LEUNG,171,MCA,CHOR CHEE HEUNG,111,,,,282,32,0
585,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/06,TOK KELING,SEKOLAH KEBANGSAAN HAJI WAHAB TOK KELING,2,486,PKR,GOOI HSIAO LEUNG,300,MCA,CHOR CHEE HEUNG,159,,,,459,27,0
586,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/06,TOK KELING,SEKOLAH KEBANGSAAN HAJI WAHAB TOK KELING,3,445,PKR,GOOI HSIAO LEUNG,274,MCA,CHOR CHEE HEUNG,144,,,,418,27,0
587,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/07,LAHAR BUDI,SEKOLAH KEBANGSAAN LAHAR BUDI,1,289,PKR,GOOI HSIAO LEUNG,149,MCA,CHOR CHEE HEUNG,122,,,,271,18,0
588,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/07,LAHAR BUDI,SEKOLAH KEBANGSAAN LAHAR BUDI,2,367,PKR,GOOI HSIAO LEUNG,222,MCA,CHOR CHEE HEUNG,131,,,,353,14,0
589,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/08,ALOR MENGKUDU,SEKOLAH KEBANGSAAN ALOR MENGKUDU,1,288,PKR,GOOI HSIAO LEUNG,111,MCA,CHOR CHEE HEUNG,155,,,,266,22,0
590,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/08,ALOR MENGKUDU,SEKOLAH KEBANGSAAN ALOR MENGKUDU,2,428,PKR,GOOI HSIAO LEUNG,160,MCA,CHOR CHEE HEUNG,238,,,,398,30,0
591,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/08,ALOR MENGKUDU,SEKOLAH KEBANGSAAN ALOR MENGKUDU,3,391,PKR,GOOI HSIAO LEUNG,159,MCA,CHOR CHEE HEUNG,205,,,,364,27,0
592,KEDAH,2008,UNDI BIASA,009,ALOR STAR,14,ALOR MENGKUDU,009/14/09,TAMAN SAGA,SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA,1,288,PKR,GOOI HSIAO LEUNG,149,MCA,CHOR CHEE HEUNG,126,,,,275,13,0
